import time: self [us] | cumulative | imported package
import time:       100 |        100 | winreg
import time:       215 |        215 |   _io
import time:        39 |         39 |   marshal
import time:       194 |        194 |   nt
import time:       691 |       1138 | _frozen_importlib_external
import time:       593 |        593 |   time
import time:       261 |        853 | zipimport
import time:        87 |         87 |     _codecs
import time:       600 |        687 |   codecs
import time:      1157 |       1157 |   encodings.aliases
import time:       544 |        544 |   encodings._win_cp_codecs
import time:      1830 |       4218 | encodings
import time:       582 |        582 | encodings.utf_8
import time:       597 |        597 | encodings.cp1252
import time:        58 |         58 | _signal
import time:        42 |         42 |       _abc
import time:       189 |        230 |     abc
import time:        61 |         61 |       _stat
import time:       173 |        234 |     stat
import time:       900 |        900 |     _collections_abc
import time:       111 |        111 |       genericpath
import time:       112 |        112 |       _winapi
import time:       254 |        477 |     ntpath
import time:       525 |       2364 |   os
import time:       109 |        109 |   _sitebuiltins
import time:        69 |         69 |   errno
import time:       819 |        819 |   encodings.utf_8_sig
import time:      2261 |       2261 |   _distutils_hack
import time:        56 |         56 |     _types
import time:       783 |        838 |   types
import time:       685 |        685 |     importlib
import time:       689 |        689 |     importlib._abc
import time:       187 |       1560 |   importlib.util
import time:        80 |         80 |   importlib.machinery
import time:       826 |        826 |     pywin32_system32
import time:      1287 |       2113 |   pywin32_bootstrap
import time:       416 |        416 |   sitecustomize
import time:       380 |        380 |   usercustomize
import time:      2799 |      13804 | site
import time:       866 |        866 | linecache
import time:       713 |        713 |   __future__
import time:        58 |         58 |       _contextvars
import time:       965 |       1022 |     _py_warnings
import time:       764 |       1786 |   warnings
import time:      2036 |       2036 |             enum
import time:        97 |         97 |               _sre
import time:       826 |        826 |                 re._constants
import time:       969 |       1795 |               re._parser
import time:       609 |        609 |               re._casefix
import time:      1001 |       3500 |             re._compiler
import time:       328 |        328 |                 itertools
import time:      1136 |       1136 |                 keyword
import time:        99 |         99 |                   _operator
import time:       956 |       1055 |                 operator
import time:       841 |        841 |                 reprlib
import time:        86 |         86 |                 _collections
import time:      1826 |       5270 |               collections
import time:        71 |         71 |               _functools
import time:      1350 |       6690 |             functools
import time:       736 |        736 |             copyreg
import time:      1340 |      14300 |           re
import time:        82 |         82 |             _json
import time:      1217 |       1299 |           json.scanner
import time:      1727 |      17325 |         json.decoder
import time:      1399 |       1399 |         json.encoder
import time:      2529 |      21251 |       json
import time:       265 |        265 |         io
import time:      1274 |       1274 |           textwrap
import time:       765 |        765 |           codeop
import time:       646 |        646 |             token
import time:        48 |         48 |             _tokenize
import time:      1618 |       2312 |           tokenize
import time:       744 |        744 |                   _weakrefset
import time:      1607 |       2350 |                 weakref
import time:       937 |       3287 |               copy
import time:      1576 |       1576 |                     _ast
import time:       859 |       2435 |                   ast
import time:      1037 |       3471 |                 annotationlib
import time:        62 |         62 |                     _opcode
import time:       769 |        769 |                     _opcode_metadata
import time:       896 |       1726 |                   opcode
import time:      1466 |       3192 |                 dis
import time:      2397 |       9058 |               inspect
import time:      1298 |      13643 |             dataclasses
import time:      6776 |      20418 |           _colorize
import time:      1364 |       1364 |           contextlib
import time:      1508 |      27640 |         traceback
import time:        66 |         66 |           _string
import time:      2051 |       2116 |         string
import time:      1617 |       1617 |         threading
import time:        57 |         57 |         atexit
import time:      3740 |      35433 |       logging
import time:       502 |        502 |           posix
import time:       449 |        449 |           posix
import time:       420 |       1370 |         posixpath
import time:      1304 |       1304 |           fnmatch
import time:      1549 |       2852 |         glob
import time:       491 |        491 |         pwd
import time:       435 |        435 |         grp
import time:       488 |        488 |           fcntl
import time:       432 |        432 |           posix
import time:      1520 |       2439 |         pathlib._os
import time:      1952 |       9537 |       pathlib
import time:        56 |         56 |             _typing
import time:      3165 |       3221 |           typing
import time:       898 |        898 |             transformers.dependency_versions_table
import time:      2209 |       2209 |                 huggingface_hub
import time:       111 |        111 |                   _struct
import time:      1244 |       1354 |                 struct
import time:      1599 |       1599 |                   concurrent
import time:      1467 |       1467 |                   concurrent.futures._base
import time:        73 |         73 |                   _interpreters
import time:      1765 |       4902 |                 concurrent.futures
import time:        72 |         72 |                       _heapq
import time:      1343 |       1414 |                     heapq
import time:      8466 |       8466 |                     _queue
import time:      1603 |      11482 |                   queue
import time:      1183 |      12665 |                 concurrent.futures.thread
import time:        69 |         69 |                   _datetime
import time:      1034 |       1103 |                 datetime
import time:      1734 |       1734 |                   urllib
import time:        80 |         80 |                   math
import time:      2194 |       2194 |                   ipaddress
import time:      2009 |       6015 |                 urllib.parse
import time:      5620 |       5620 |                         _socket
import time:      2428 |       8048 |                       socket
import time:      1926 |       1926 |                         email
import time:      1690 |       3616 |                       email.errors
import time:      2211 |       2211 |                         http
import time:       109 |        109 |                                 binascii
import time:       939 |        939 |                                 email.quoprimime
import time:      1018 |       1018 |                                   base64
import time:       781 |       1798 |                                 email.base64mime
import time:      1180 |       1180 |                                     quopri
import time:       965 |       2145 |                                   email.encoders
import time:       799 |       2943 |                                 email.charset
import time:      1693 |       7480 |                               email.header
import time:      1193 |       1193 |                                 email._parseaddr
import time:      1759 |       2952 |                               email.utils
import time:      1345 |      11776 |                             email._policybase
import time:      1649 |      13425 |                           email.feedparser
import time:      1111 |      14536 |                         email.parser
import time:      1374 |       1374 |                           email._encoded_words
import time:      1494 |       1494 |                           email.iterators
import time:      1638 |       4505 |                         email.message
import time:     78839 |      78839 |                           _ssl
import time:      5224 |      84063 |                         ssl
import time:      2112 |     107425 |                       http.client
import time:      2174 |     121261 |                     urllib3.exceptions
import time:      1767 |       1767 |                             urllib3.util.timeout
import time:      2422 |       4189 |                           urllib3.util.connection
import time:      1386 |       1386 |                             urllib3.util.util
import time:       733 |        733 |                             brotlicffi
import time:       704 |        704 |                             brotli
import time:      2062 |       2062 |                             compression
import time:      5025 |       5025 |                               _zstd
import time:       907 |        907 |                                 compression._common
import time:      1110 |       1110 |                                 compression._common._streams
import time:      1442 |       3458 |                               compression.zstd._zstdfile
import time:      2816 |      11298 |                             compression.zstd
import time:      2103 |      18284 |                           urllib3.util.request
import time:      1139 |       1139 |                           urllib3.util.response
import time:       134 |        134 |                                 _bisect
import time:      1447 |       1581 |                               bisect
import time:        45 |         45 |                               _random
import time:      1672 |       3297 |                             random
import time:      1473 |       4770 |                           urllib3.util.retry
import time:      5250 |       5250 |                               _hashlib
import time:       112 |        112 |                               _blake2
import time:      1328 |       6690 |                             hashlib
import time:        87 |         87 |                               _hmac
import time:      1369 |       1455 |                             hmac
import time:      8157 |       8157 |                             urllib3.util.url
import time:      1533 |       1533 |                             urllib3.util.ssltransport
import time:      1081 |      18914 |                           urllib3.util.ssl_
import time:      4107 |       4107 |                             select
import time:       842 |       4948 |                           urllib3.util.wait
import time:      1984 |      54224 |                         urllib3.util
import time:        42 |      54266 |                       urllib3.util.connection
import time:      2270 |      56536 |                     urllib3._base_connection
import time:      1643 |       1643 |                     urllib3._collections
import time:      1124 |       1124 |                     urllib3._version
import time:      1446 |       1446 |                             mimetypes
import time:      1011 |       2457 |                           urllib3.fields
import time:      1358 |       3814 |                         urllib3.filepost
import time:       111 |        111 |                           zlib
import time:       515 |        515 |                           brotlicffi
import time:       434 |        434 |                           brotli
import time:      4581 |       4581 |                                       _bz2
import time:      1393 |       5974 |                                     bz2
import time:      4393 |       4393 |                                       _lzma
import time:      1397 |       5789 |                                     lzma
import time:      2143 |      13905 |                                   shutil
import time:      1101 |       1101 |                                     zipfile._path.glob
import time:      2243 |       3343 |                                   zipfile._path
import time:      3197 |      20444 |                                 zipfile
import time:      1295 |       1295 |                                 importlib.metadata._meta
import time:      1358 |       1358 |                                 importlib.metadata._collections
import time:      1056 |       1056 |                                 importlib.metadata._functools
import time:       956 |        956 |                                 importlib.metadata._itertools
import time:      1220 |       1220 |                                 importlib.abc
import time:      3717 |      30042 |                               importlib.metadata
import time:      1581 |      31623 |                             urllib3.http2
import time:      1257 |       1257 |                             urllib3.http2.probe
import time:      1181 |       1181 |                             urllib3.util.ssl_match_hostname
import time:      2150 |      36209 |                           urllib3.connection
import time:      1778 |      39046 |                         urllib3.response
import time:      1043 |      43903 |                       urllib3._request_methods
import time:       972 |        972 |                       urllib3.util.proxy
import time:      1552 |      46426 |                     urllib3.connectionpool
import time:      4269 |       4269 |                     urllib3.poolmanager
import time:      2542 |     233798 |                   urllib3
import time:      3753 |       3753 |                             charset_normalizer.constant
import time:      4555 |       4555 |                               unicodedata
import time:      1935 |       6489 |                             charset_normalizer.utils
import time:     21077 |      31317 |                           charset_normalizer.md
import time:     21925 |      53242 |                         charset_normalizer.cd
import time:      1611 |       1611 |                         charset_normalizer.models
import time:        48 |         48 |                         _multibytecodec
import time:      2342 |      57242 |                       charset_normalizer.api
import time:      1013 |       1013 |                       charset_normalizer.legacy
import time:       784 |        784 |                       charset_normalizer.version
import time:       527 |        527 |                       simplejson
import time:      1840 |       1840 |                           tempfile
import time:      1617 |       1617 |                             urllib.response
import time:      1593 |       3209 |                           urllib.error
import time:      3206 |       8255 |                         urllib.request
import time:        92 |         92 |                             _locale
import time:      2468 |       2559 |                           locale
import time:      2417 |       4975 |                         calendar
import time:      3808 |      17037 |                       http.cookiejar
import time:      2803 |       2803 |                       http.cookies
import time:      3502 |      82907 |                     requests.compat
import time:      2150 |      85057 |                   requests.exceptions
import time:       612 |        612 |                   chardet
import time:      1546 |       1546 |                         idna.idnadata
import time:      1412 |       1412 |                         idna.intranges
import time:      2924 |       5881 |                       idna.core
import time:       882 |        882 |                       idna.package_data
import time:      2445 |       9207 |                     idna
import time:      1801 |      11007 |                   requests.packages
import time:      1637 |       1637 |                               importlib.resources.abc
import time:      2231 |       3868 |                             importlib.resources._common
import time:      1186 |       1186 |                             importlib.resources._functional
import time:      2579 |       7632 |                           importlib.resources
import time:      1744 |       9375 |                         certifi.core
import time:      1992 |      11367 |                       certifi
import time:       870 |      12236 |                     requests.certs
import time:      1110 |       1110 |                     requests.__version__
import time:      1132 |       1132 |                     requests._internal_utils
import time:      1178 |       1178 |                     requests._types
import time:      1683 |       1683 |                     requests.cookies
import time:      1340 |       1340 |                     requests.structures
